soc_6digit,usage_total,employment,wage_annual,wage_hourly,occ_title,share_core,avg_match_score,share_ambiguous,usage_per_worker,log_wage,log_employment,log_usage_intensity
11-1011,1249.0,211850.0,262930.0,126.41,Chief Executives,0.8571428571428571,100.0,0.0,0.005895680906301629,12.479643116037305,12.263633756054706,-5.133365644619689
11-1021,376.0,3584420.0,133120.0,64.0,General and Operations Managers,0.6666666666666666,100.0,0.0,0.00010489842150194452,11.799006256055035,15.09210723371104,-9.153030211020933
11-1031,17.0,26510.0,67390.0,32.39903846153846,Legislators,0.0,100.0,0.0,0.0006412674462466994,11.118251917940263,10.18527729928307,-7.350505758082111
11-2011,2847.0,21100.0,149270.0,71.76,Advertising and Promotions Managers,0.6153846153846154,98.93122228648545,0.07692307692307693,0.13492890995260665,11.913512025627286,9.957028319464158,-2.0029998209034328
11-2021,224.0,384980.0,171520.0,82.46,Marketing Managers,1.0,100.0,0.0,0.0005818484077094914,12.052455156864575,12.860946663868626,-7.447583426506614
11-2022,654.0,603710.0,160930.0,77.37,Sales Managers,0.6666666666666666,100.0,0.3333333333333333,0.0010833015851981912,11.98872476681254,13.310849229166129,-6.826819199531852
11-2032,606.5,76060.0,163520.0,78.61,Public Relations Managers,0.0,100.0,0.3333333333333333,0.007973967920063108,12.004690585997476,11.23927778148225,-4.8314476528819394
11-2033,126.5,36920.0,137290.0,66.01,Fundraising Managers,0.0,98.18181818181819,1.0,0.0034263271939328275,11.82985075589165,10.516508688616788,-5.675974565323879
11-3013,6522.0,141090.0,114520.0,55.06,Facilities Managers,0.0,99.3732970027248,0.0,0.04622581331065277,11.64850475921205,11.857153263607204,-3.074195274557245
11-3021,422.0,645970.0,187990.0,90.38,Computer and Information Systems Managers,1.0,100.0,0.125,0.0006532811121259501,12.144144048908007,13.378508342057904,-7.331973463804729
11-3031,3411.0,818620.0,180470.0,86.76,Financial Managers,0.625,100.0,0.0,0.004166768464000391,12.103319837955343,13.615375274698984,-5.480374526937707
11-3051,115.0,234380.0,129180.0,62.11,Industrial Production Managers,1.0,100.0,0.0,0.0004906561993344142,11.768962059586464,12.364699008812593,-7.617730867574415
11-3061,1340.0,81240.0,150630.0,72.42,Purchasing Managers,1.0,100.0,0.0,0.016494337764647957,11.92258177769686,11.30516301569432,-4.104677497721426
11-3071,949.0,213000.0,116010.0,55.77,"Transportation, Storage, and Distribution Managers",1.0,100.0,0.0,0.004455399061032864,11.661431673269453,12.269047444691562,-5.413414224479955
11-3111,82.0,20070.0,156230.0,75.11,Compensation and Benefits Managers,0.5,100.0,0.5,0.00408570004982561,11.959084559405948,9.906981441790384,-5.500017468376457
11-3121,259.0,215520.0,160480.0,77.15,Human Resources Managers,1.0,100.0,0.3333333333333333,0.001201744617668894,11.985924603195762,12.280808991644191,-6.72314915241539
11-3131,278.0,44960.0,140590.0,67.59,Training and Development Managers,1.0,100.0,0.0,0.006183274021352313,11.853603132073953,10.713528484567572,-5.08574565733457
11-9013,24.0,5910.0,97240.0,46.75,"Farmers, Ranchers, and Other Agricultural Managers",0.0,97.81659388646288,0.0,0.0040609137055837565,11.48493742843006,8.684401110400144,-5.506101060366753
11-9021,205.0,348330.0,119660.0,57.53,Construction Managers,1.0,100.0,0.0,0.0005885223782045761,11.692409666944023,12.760905585289162,-7.436197877376443
11-9031,142.0,71620.0,62640.0,30.12,"Education and Childcare Administrators, Preschool and Daycare",1.0,100.0,0.0,0.0019826864004468025,11.045159330664685,11.179129643552423,-6.222798346903859
11-9032,700.0,319630.0,113360.0,54.5,"Education Administrators, Kindergarten through Secondary",0.5714285714285714,97.74260266367972,0.0,0.0021900322247598784,11.638323874364563,12.674919355803162,-6.123382510690623
11-9033,19.0,176420.0,124450.0,59.83,"Education Administrators, Postsecondary",0.0,100.0,0.0,0.00010769753996145562,11.731659307795738,12.080622794812758,-9.126941395542556
11-9041,83.0,210340.0,175710.0,84.48,Architectural and Engineering Managers,1.0,100.0,0.0,0.00039459922030997435,12.076590187751938,12.25648054807402,-7.835108929122678
11-9051,128.0,244230.0,72370.0,34.79,Food Service Managers,1.0,100.0,0.0,0.0005240961388854768,11.189547127860173,12.405865683236133,-7.551929190450757
11-9071,82.0,4620.0,102480.0,49.27,Gambling Managers,1.0,100.0,0.0,0.01774891774891775,11.537422936570616,8.438149984075784,-4.031374396935237
11-9072,11.0,36700.0,87060.0,41.86,"Entertainment and Recreation Managers, Except Gambling",0.0,100.0,1.0,0.0002997275204359673,11.374352815106288,10.510532034042662,-8.109305950920598
11-9081,195.0,41350.0,77460.0,37.24,Lodging Managers,1.0,100.0,0.0,0.00471584038694075,11.257516953068743,10.629827700451838,-5.356616113085734
11-9111,247.0,565840.0,137730.0,66.22,Medical and Health Services Managers,1.0,100.0,0.0,0.00043651915735897076,11.833050525911377,13.246066631709871,-7.734390064876206
11-9121,1967.0,100870.0,173500.0,83.41,Natural Sciences Managers,0.9,99.66108657697443,0.0,0.01950034698126301,12.063932878369052,11.52158783804888,-3.9372717398358645
11-9131,17.0,13810.0,93760.0,45.08,Postmasters and Mail Superintendents,1.0,100.0,0.0,0.0012309920347574222,11.448493604810839,9.533148246403337,-6.699122879186009
11-9141,607.0,296640.0,82720.0,39.77,"Property, Real Estate, and Community Association Managers",0.42857142857142855,100.0,0.0,0.0020462513484358143,11.323216689742257,12.600274561359628,-6.191257191157061
11-9151,142.0,195490.0,86100.0,41.39,Social and Community Service Managers,1.0,100.0,0.0,0.0007263798659777993,11.363264690415821,12.183264506204166,-7.226061705231093
11-9171,281.0,13120.0,85650.0,41.18,Funeral Home Managers,1.0,100.0,0.0,0.02141768292682927,11.358024503752265,9.48189306249808,-3.8434917038628376
11-9179,3101.0,10490.0,70620.0,33.95,"Personal Service Managers, All Other",1.0,100.0,0.0,0.2956148713060057,11.165068669482377,9.258177701390343,-1.2186943995158672
11-9199,1120.5,630980.0,149890.0,72.06,"Managers, All Other",0.8947368421052632,100.0,0.05263157894736842,0.001775809058924213,11.917656970724641,13.355029445299953,-6.332936186948037
13-1011,1192.0,14220.0,165600.0,79.62,"Agents and Business Managers of Artists, Performers, and Athletes",0.75,100.0,0.0,0.08382559774964839,12.017330520933296,9.562404703357231,-2.4790049262728915
13-1031,712.0,305020.0,78770.0,37.87,"Claims Adjusters, Examiners, and Investigators",0.625,100.0,0.0,0.0023342731624155792,11.27428749269737,12.628132627210174,-6.059626408658394
13-1041,1098.5,397770.0,84980.0,40.86,Compliance Officers,0.7333333333333333,100.0,0.06666666666666667,0.002761646177439224,11.350171213668803,12.893629227776874,-5.891566298628084
13-1051,158.0,219530.0,83160.0,39.98,Cost Estimators,1.0,100.0,0.0,0.000719719400537512,11.328521741971949,12.299244176417968,-7.235260677376469
13-1071,2254.0,917460.0,79730.0,38.33,Human Resources Specialists,0.7272727272727273,100.0,0.0,0.0024567828570182895,11.28640120549654,13.729364261230252,-6.008495613067597
13-1075,35.0,64590.0,97130.0,46.7,Labor Relations Specialists,0.5,100.0,0.0,0.0005418795479176343,11.483805566396375,11.075814879026519,-7.518623089676943
13-1081,1202.0,235640.0,87600.0,42.12,Logisticians,0.8823529411764706,100.0,0.0,0.005101001527754201,11.380536276924483,12.370060495635624,-5.278122359820343
13-1082,30.0,1006160.0,108100.0,51.97,Project Management Specialists,0.0,100.0,1.0,2.981633139858472e-05,11.590812003627299,13.821651662721036,-10.387465768298625
13-1111,224.0,893900.0,114710.0,55.15,Management Analysts,1.0,100.0,0.0,0.0002505873140172279,11.650162483275313,13.703349191075944,-8.287720455644365
13-1121,601.0,134670.0,65090.0,31.29,"Meeting, Convention, and Event Planners",1.0,100.0,0.0,0.004462760822751912,11.083526206566432,11.810582620444087,-5.411763634471177
13-1131,94.0,105930.0,73130.0,35.16,Fundraisers,0.75,98.63636363636364,0.25,0.0008873784574719155,11.199993958264997,11.570533777590542,-7.026112714918876
13-1141,1736.0,102370.0,82920.0,39.86,"Compensation, Benefits, and Job Analysis Specialists",0.0,100.0,0.0,0.016958093191364657,11.325631566549715,11.536348979913816,-4.076951117538108
13-1151,227.0,436610.0,73760.0,35.46,Training and Development Specialists,1.0,100.0,0.0,0.0005199147981035707,11.208571858230476,12.986795627095875,-7.559924064894109
13-1161,9146.0,861140.0,86480.0,41.58,Market Research Analysts and Marketing Specialists,0.8620689655172413,100.0,0.0,0.01062080497944585,11.36766845231309,13.666012371817672,-4.54484631721018
13-1199,5565.0,1128200.0,92380.0,44.41,"Business Operations Specialists, All Other",0.6,99.56109550030833,0.0,0.004932636057436625,11.433665783984596,13.936134000288012,-5.311679025768899
13-2011,1464.0,1448290.0,93520.0,44.96,Accountants and Auditors,0.7,99.38927553395266,0.0,0.0010108472750623148,11.44593059614595,14.185894108118283,-6.895977633475567
13-2041,68.0,67370.0,98040.0,47.14,Credit Analysts,0.5,100.0,0.5,0.0010093513433278908,11.493130837642049,11.117955093954706,-6.897457143938779
13-2051,1496.5,340580.0,116490.0,56.01,Financial and Investment Analysts,0.0,100.0,0.2857142857142857,0.004393974983851077,11.665560711393823,12.738405325580596,-5.42729343981772
13-2052,1352.0,270480.0,160210.0,77.02,Personal Financial Advisors,0.9,100.0,0.0,0.004998521147589471,11.98424073364076,12.507953437381767,-5.298413141616428
13-2053,166.0,107820.0,90830.0,43.67,Insurance Underwriters,1.0,97.89343246592318,0.0,0.0015396030421072158,11.416744906496259,11.58821844900566,-6.475581353422397
13-2054,450.5,56320.0,119930.0,57.66,Financial Risk Specialists,0.0,100.0,0.4444444444444444,0.00799893465909091,11.694663518225767,10.938804990831924,-4.828321904949292
13-2061,279.0,62830.0,103650.0,49.83,Financial Examiners,1.0,100.0,0.0,0.0044405538755371635,11.548775117863926,11.048187945396993,-5.4167509917960786
13-2071,483.0,28110.0,55890.0,26.87,Credit Counselors,1.0,99.20399387421374,0.0,0.01718249733191035,10.931140752263744,10.243880663900578,-4.0638058131837225
13-2072,880.0,290530.0,86020.0,41.35,Loan Officers,0.4166666666666667,100.0,0.0,0.003028947096685368,11.362335106337728,12.579462120165852,-5.799210119453097
13-2081,23.0,53530.0,67570.0,32.49,"Tax Examiners and Collectors, and Revenue Agents",0.0,100.0,0.0,0.000429665608070241,11.12091937654622,10.887997523387426,-7.750178620334093
13-2082,237.0,73570.0,58860.0,28.3,Tax Preparers,1.0,100.0,0.0,0.0032214217751801006,10.982917021787463,11.20599261292631,-5.7376220980211725
13-2099,878.0,127450.0,93890.0,45.14,"Financial Specialists, All Other",0.7692307692307693,100.0,0.0,0.006888976069046685,11.449879163252593,11.755479409804261,-4.977687667250456
15-1211,24388.0,497800.0,111960.0,53.83,Computer Systems Analysts,0.9,99.4973722973703,0.0,0.04899156287665729,11.62589694362939,13.117953668915629,-3.016086770418363
15-1212,2477.0,179430.0,127730.0,61.41,Information Security Analysts,1.0,100.0,0.0,0.01380482639469431,11.757673940036822,12.097540438706712,-4.282664573407301
15-1221,4617.0,38480.0,152310.0,73.23,Computer and Information Research Scientists,1.0,100.0,0.16666666666666666,0.11998440748440749,11.933673196609549,10.557893904779643,-2.1203851478910973
15-1231,5559.0,146450.0,79610.0,38.27,Computer Network Support Specialists,1.0,100.0,0.0,0.037958347558893824,11.284894992082624,11.89443935225588,-3.271239492983118
15-1232,1625.0,697210.0,64990.0,31.25,Computer User Support Specialists,0.9,100.0,0.0,0.0023307181480472167,11.081988690888394,13.454841935611775,-6.061149880556866
15-1241,3687.0,177010.0,135890.0,65.33,Computer Network Architects,0.9,99.65465465465465,0.0,0.020829331676176486,11.819601013914543,12.083961507135202,-3.871345100831874
15-1242,13983.5,73180.0,107440.0,51.65,Database Administrators,0.9285714285714286,99.35070533227257,0.42857142857142855,0.1910836294069418,11.584687831197119,11.200677438573198,-1.6550388631688593
15-1243,52410.5,64770.0,142620.0,68.57,Database Architects,0.96875,99.98292349726776,0.1875,0.8091786320827543,11.867939029582294,11.078597812176962,-0.21173434444186431
15-1244,8001.0,318570.0,101190.0,48.65,Network and Computer Systems Administrators,0.875,100.0,0.0,0.025115359261700724,11.524755216723806,12.671597510066,-3.684235881735558
15-1251,33151.0,109870.0,103640.0,49.83,Computer Programmers,1.0,100.0,0.0,0.3017293164649131,11.548678634676046,11.607053127694927,-1.1982216524000415
15-1252,66262.0,1654440.0,144570.0,69.5,Software Developers,0.0,98.39190898294967,0.1,0.04005101424046807,11.881519098302489,14.318973140953675,-3.2175763135871565
15-1253,142730.0,199800.0,110260.0,53.01,Software Quality Assurance Analysts and Testers,0.8333333333333334,100.0,0.08333333333333333,0.7143643643643643,11.610596492143674,12.20507214519659,-0.33636073272789296
15-1254,18671.333333333332,78860.0,98790.0,47.5,Web Developers,0.7333333333333333,99.80952380952381,0.7333333333333333,0.23676557612646884,11.50075166403852,11.275429407431618,-1.440680534049193
15-1255,12716.833333333334,111400.0,111450.0,53.58,Web and Digital Interface Designers,0.17647058823529413,100.0,0.5882352941176471,0.11415469778575704,11.621331338814015,11.620882606475321,-2.1701919923527226
15-1299,26427.833333333336,439380.0,116700.0,56.11,"Computer Occupations, All Other",0.967741935483871,99.93791523521975,0.06451612903225806,0.06014801159209189,11.667361818274648,12.99311992128317,-2.810930269080637
15-2011,128.0,28340.0,134990.0,64.9,Actuaries,1.0,100.0,0.0,0.004516584333098095,11.812955980602872,10.252029513244672,-5.3997778675818005
15-2021,1042.0,2220.0,122520.0,58.91,Mathematicians,1.0,100.0,0.0,0.46936936936936935,11.716029560946712,7.705262474866325,-0.7563631220370484
15-2031,1281.0,107760.0,99120.0,47.66,Operations Research Analysts,1.0,99.76937269372694,0.0,0.011887527839643653,11.504086516303024,11.587661811084246,-4.43218139094569
15-2041,6093.0,29800.0,112330.0,54.01,Statisticians,1.0,99.38713935333305,0.0,0.20446308724832216,11.629196246635615,10.302263672493496,-1.5873629313985995
15-2051,9211.0,233440.0,124590.0,59.9,Data Scientists,0.9565217391304348,100.0,0.0,0.039457676490747086,11.732783625292909,12.360680363756613,-3.232501319478621
15-2099,62434.0,4660.0,84700.0,40.72,"Mathematical Science Occupations, All Other",0.6,99.72677595628416,0.0,13.39785407725322,11.346870880640147,8.446770727119691,2.595094625282778
17-1011,158.0,111140.0,103390.0,49.71,"Architects, Except Landscape and Naval",1.0,99.85875706214689,0.25,0.0014216303761022135,11.54626352458074,11.618545946833912,-6.555247743367717
17-1012,26.0,19580.0,88000.0,42.31,Landscape Architects,1.0,99.43502824858756,1.0,0.001327885597548519,11.385092093460344,9.8822639160845,-6.623414584560086
17-1021,180.0,12790.0,82860.0,39.84,Cartographers and Photogrammetrists,0.5,100.0,0.0,0.014073494917904612,11.324907715631392,9.456418894572888,-4.263390990651449
17-1022,35.0,53080.0,76730.0,36.89,Surveyors,0.5,100.0,0.0,0.0006593820648078372,11.24804804517171,10.879555488446144,-7.32269200436123
17-2011,107.0,68440.0,141180.0,67.88,Aerospace Engineers,0.5,100.0,0.0,0.0015634132086499123,11.857790950949463,11.13371272800613,-6.460244471849631
17-2031,271.0,21860.0,115020.0,55.3,Bioengineers and Biomedical Engineers,1.0,100.0,0.0,0.012397072278133577,11.652861305267745,9.99241376173053,-4.390214279897369
17-2051,154.0,355410.0,107050.0,51.47,Civil Engineers,0.6666666666666666,100.0,0.0,0.0004333023831631074,11.58105129401783,12.781027331616915,-7.74176953107243
17-2061,2585.0,75710.0,156770.0,75.37,Computer Hardware Engineers,0.8333333333333334,99.69915764139591,0.16666666666666666,0.034143442081627264,11.962535042062576,11.234665531097352,-3.377155456382553
17-2071,317.0,188790.0,120980.0,58.16,Electrical Engineers,0.25,100.0,0.0,0.0016791143598707558,11.703380521660906,12.14839056518909,-6.3888934165320785
17-2072,357.0,93940.0,132500.0,63.7,"Electronics Engineers, Except Computer",1.0,100.0,0.0,0.0038002980625931448,11.794337924408413,11.450411559580987,-5.57241267516098
17-2081,55.0,37950.0,110570.0,53.16,Environmental Engineers,1.0,100.0,0.0,0.0014492753623188406,11.613404083536448,10.544024782823776,-6.5360018355318585
17-2111,27.0,23220.0,113770.0,54.7,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.0,98.12734082397004,0.0,0.0011627906976744186,11.641934145533762,10.052769255251883,-6.756072758835671
17-2112,243.0,350230.0,107900.0,51.87,Industrial Engineers,1.0,99.37823834196891,0.0,0.000693829769008937,11.588960151246226,12.766345360498919,-7.271843679079158
17-2121,18.0,8440.0,116680.0,56.1,Marine Engineers and Naval Architects,1.0,100.0,0.0,0.0021327014218009478,11.667190423981658,9.040737587590003,-6.149897050698994
17-2141,581.0,286760.0,110080.0,52.92,Mechanical Engineers,0.8333333333333334,100.0,0.0,0.0020260845306179385,11.60896265316717,12.566400907966809,-6.201156710054245
17-2199,2033.0,150750.0,121720.0,58.52,"Engineers, All Other",0.8421052631578947,99.2822966507177,0.0,0.013485903814262023,11.709478604010908,11.923378114589433,-4.306036152209926
17-3011,61.0,109550.0,68860.0,33.11,Architectural and Civil Drafters,0.6666666666666666,98.36477987421385,0.3333333333333333,0.0005568233683249658,11.139830736892515,11.604136345023612,-7.491468189914151
17-3012,304.0,20020.0,77960.0,37.48,Electrical and Electronics Drafters,0.8,99.02912621359224,0.2,0.015184815184815185,11.263951153621496,9.90448705286921,-4.187393498368195
17-3022,1389.0,62130.0,68450.0,32.91,Civil Engineering Technologists and Technicians,0.25,100.0,0.0,0.022356349589570255,11.133858830716594,11.03698424305774,-3.800600171282155
17-3023,122.0,92710.0,78580.0,37.78,Electrical and Electronic Engineering Technologists and Technicians,1.0,100.0,0.0,0.0013159313989860857,11.27187249311245,11.437231620601029,-6.6324509464264985
17-3024,63.0,14680.0,75710.0,36.4,Electro-Mechanical and Mechatronics Technologists and Technicians,0.3333333333333333,100.0,0.0,0.004291553133514986,11.234665531097352,9.594241302168507,-5.45087358704794
17-3025,87.0,12500.0,63070.0,30.32,Environmental Engineering Technologists and Technicians,0.3333333333333333,100.0,0.0,0.00696,11.052000499657696,9.433483923290392,-4.967432136795607
17-3026,47.0,73410.0,69780.0,33.55,Industrial Engineering Technologists and Technicians,1.0,100.0,0.0,0.0006402397493529492,11.153102714740765,11.203815445104826,-7.352107147021567
17-3027,1199.0,37450.0,72450.0,34.83,Mechanical Engineering Technologists and Technicians,1.0,100.0,0.0,0.03201602136181576,11.190651947748828,10.530761988945365,-3.4414876000436654
17-3029,41.0,64410.0,79740.0,38.34,"Engineering Technologists and Technicians, Except Drafters, All Other",1.0,96.42631246046807,0.0,0.0006365471200124205,11.286526620935346,11.073024179540937,-7.357882369918205
19-1012,205.0,14370.0,92190.0,44.32,Food Scientists and Technologists,1.0,99.6969696969697,0.0,0.014265831593597773,11.43160694379264,9.57289797907307,-4.249817904830406
19-1013,100.0,16600.0,83040.0,39.92,Soil and Plant Scientists,0.5,100.0,0.0,0.006024096385542169,11.327077698399716,9.717157974344635,-5.111821802133019
19-1021,747.0,34520.0,115570.0,55.56,Biochemists and Biophysicists,0.6,100.0,0.0,0.0216396292004635,11.657631685969488,10.449294145197364,-3.8331827496195485
19-1022,302.0,19760.0,95200.0,45.77,Microbiologists,1.0,100.0,0.0,0.015283400809716598,11.463735220779457,9.89141497130186,-4.180922525603893
19-1023,385.0,16920.0,77920.0,37.46,Zoologists and Wildlife Biologists,1.0,100.0,0.0,0.022754137115839245,11.263437938316416,9.736251633160215,-3.7829643517861693
19-1029,5819.0,59710.0,100440.0,48.29,"Biological Scientists, All Other",0.75,99.30301094732177,0.0,0.09745436275330766,11.517315813271521,10.997254789541039,-2.328360823723747
19-1041,21.0,11460.0,94160.0,45.27,Epidemiologists,1.0,100.0,0.0,0.0018324607329842932,11.452750741934159,9.346617990268731,-6.301549987107484
19-1042,15.0,156300.0,112690.0,54.18,"Medical Scientists, Except Epidemiologists",1.0,100.0,0.0,9.596928982725528e-05,11.632395964946395,11.959532516409569,-9.241116229308181
19-2011,442.0,1560.0,134430.0,64.63,Astronomers,1.0,100.0,0.0,0.2833333333333333,11.808798896448298,7.352441100243583,-1.2611276887603484
19-2012,176.0,21340.0,166000.0,79.81,Physicists,1.0,100.0,0.0,0.008247422680412371,12.01974306733868,9.968338524855744,-4.797733287167779
19-2021,48.0,8780.0,103980.0,49.99,Atmospheric and Space Scientists,1.0,100.0,0.0,0.005466970387243736,11.551953851937707,9.080231686629162,-5.208847775781819
19-2031,841.0,83250.0,95940.0,46.13,Chemists,1.0,100.0,0.0,0.010102102102102103,11.471478275056056,11.32960340784269,-4.594912763470405
19-2032,1239.0,8330.0,111410.0,53.56,Materials Scientists,1.0,100.0,0.0,0.14873949579831933,11.620972369053362,9.027618735160889,-1.9055521303905045
19-2041,394.0,84930.0,88640.0,42.62,"Environmental Scientists and Specialists, Including Health",0.42857142857142855,100.0,0.0,0.00463911456493583,11.392338501981111,11.349582666774054,-5.373016222329855
19-2042,464.0,22510.0,111310.0,53.52,"Geoscientists, Except Hydrologists and Geographers",0.5,100.0,0.0,0.020613060861839182,11.62007438048727,10.021714933900778,-3.8817818699202022
