anthropic_task,anthropic_norm,onet_match_norm,score
"inform prospective purchasers about models, numbers, and prices of garments, the garments' designers, and where garments can be purchased.",inform prospective purchasers about models numbers and prices of garments the garments designers and where garments can be purchased,inspect garments and examine repair tags and markings on garments to locate defects or damage and mark errors as necessary,51.181102362204726
"inspect facilities, machinery, and safety equipment to identify and correct potential hazards, and to ensure safety regulation compliance.",inspect facilities machinery and safety equipment to identify and correct potential hazards and to ensure safety regulation compliance,inspect facilities machinery or safety equipment to identify and correct potential hazards and to ensure safety regulation compliance,98.12734082397003
"inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",inspect layouts and advertising copy and edit scripts audio and video tapes and other promotional material for adherence to specifications,inspect layouts and advertising copy and edit scripts audio video and other promotional material for adherence to specifications,96.2406015037594
"inspect properties to evaluate construction, condition, special features, and functional design, and to take property measurements.",inspect properties to evaluate construction condition special features and functional design and to take property measurements,inspect completed work to ensure conformance to specifications standards and contract requirements,58.03571428571428
inspect public establishments to ensure compliance with rules and regulations.,inspect public establishments to ensure compliance with rules and regulations,inspect vehicles or equipment to ensure compliance with rules standards or regulations,79.75460122699387
"inspect security design features, installations, or programs to ensure compliance with applicable standards or regulations.",inspect security design features installations or programs to ensure compliance with applicable standards or regulations,inspect physical security design features installations or programs to ensure compliance with applicable standards or regulations,96.3855421686747
"instruct users in the selection, use, and design of audio-visual materials and assist them in the preparation of instructional materials and the rehearsal of presentations.",instruct users in the selection use and design of audiovisual materials and assist them in the preparation of instructional materials and the rehearsal of presentations,conduct training sessions on selection use and design of audiovisual materials and on operation of presentation equipment,64.3598615916955
insulate shells and cabinets of systems.,insulate shells and cabinets of systems,set up and maintain master key systems,57.14285714285714
"interact with clients to assist them in gaining insight, defining goals, and planning action to achieve effective personal, social, educational, and vocational development and adjustment.",interact with clients to assist them in gaining insight defining goals and planning action to achieve effective personal social educational and vocational development and adjustment,interact with clients to assist them in gaining insight defining goals and planning action to achieve effective personal social educational or vocational development and adjustment,98.61495844875347
"interpret engineering drawings, sketches, or diagrams.",interpret engineering drawings sketches or diagrams,interpret engineering sketches specifications or drawings,70.37037037037037
interpret imaging data and confer with other medical specialists to formulate diagnoses.,interpret imaging data and confer with other medical specialists to formulate diagnoses,confer with medical professionals regarding imagebased diagnoses,54.3046357615894
interview applicants and request specified information for loan applications.,interview applicants and request specified information for loan applications,interview job applicants to obtain and verify information used to screen and evaluate them,61.44578313253012
label and record contents of exposed film and note details on report forms.,label and record contents of exposed film and note details on report forms,record temperatures amounts of materials processed or test results on report forms,58.97435897435898
make many quick changes backstage during fashion shows and yet maintain poised appearance before audiences.,make many quick changes backstage during fashion shows and yet maintain poised appearance before audiences,make garment style changes such as tapering pant legs narrowing lapels and adding or removing padding,51.20772946859904
"manage security programs designed to protect personnel, facilities, and information.",manage security programs designed to protect personnel facilities and information,manage safety programs at power generation facilities,62.68656716417911
measure and record data associated with operating equipment.,measure and record data associated with operating equipment,collect and record data associated with operating geothermal power plants or well fields,66.66666666666667
"modify existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",modify existing software to correct errors to adapt it to new hardware or to upgrade interfaces and improve performance,modify existing software to correct errors adapt it to new hardware or upgrade interfaces and improve performance,97.41379310344827
"modify, maintain, and repair electronics equipment and systems to ensure that they function properly.",modify maintain and repair electronics equipment and systems to ensure that they function properly,modify maintain or repair electronics equipment or systems to ensure proper functioning,81.08108108108108
"modify, update, and process existing policies and claims to reflect any change in beneficiary, amount of coverage, or type of insurance.",modify update and process existing policies and claims to reflect any change in beneficiary amount of coverage or type of insurance,modify update or process existing policies and claims to reflect any change in beneficiary amount of coverage or type of insurance,98.08429118773945
"monitor and analyze network performance and data input/output reports to detect problems, identify inefficient use of computer resources, or perform capacity planning.",monitor and analyze network performance and data inputoutput reports to detect problems identify inefficient use of computer resources or perform capacity planning,monitor and analyze network performance and reports on data input or output to detect problems identify inefficient use of computer resources or perform capacity planning,93.09309309309309
"monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns and determine what the company will sell and how much inventory is needed.",monitor and analyze sales records trends or economic conditions to anticipate consumer buying patterns and determine what the company will sell and how much inventory is needed,monitor and analyze sales records trends or economic conditions to anticipate consumer buying patterns company sales and needed inventory,81.78913738019169
"monitor security policies, programs or procedures to ensure compliance with internal security policies, licensing requirements, or applicable government security requirements, policies, and directives.",monitor security policies programs or procedures to ensure compliance with internal security policies licensing requirements or applicable government security requirements policies and directives,monitor security policies programs or procedures to ensure compliance with internal security policies or applicable government security requirements policies and directives,93.73297002724796
monitor supplier performance to assess ability to meet quality and delivery requirements.,monitor supplier performance to assess ability to meet quality and delivery requirements,monitor suppliers activities to assess performance in meeting quality or delivery requirements,75.82417582417582
narrate presentations and productions.,narrate presentations and productions,arrange financing for productions,65.71428571428571
negotiate payment arrangements with customers who have delinquent loans.,negotiate payment arrangements with customers who have delinquent loans,fit and study garments on customers to determine required alterations,57.14285714285714
none,none,mentor new faculty,36.36363636363637
not_classified,not_classified,teach pottery classes,45.714285714285715
notify supervisor or computer maintenance technicians of equipment malfunctions.,notify supervisor or computer maintenance technicians of equipment malfunctions,notify supervisors or mechanics of equipment malfunctions,80.88235294117648
"observe and provide feedback on instructional techniques, presentation methods, or instructional aids.",observe and provide feedback on instructional techniques presentation methods or instructional aids,provide feedback to production staff regarding technical game qualities or adherence to original design,56.43564356435644
"observe teaching methods and examine learning materials to evaluate and standardize curricula and teaching techniques, and to determine areas where improvement is needed.",observe teaching methods and examine learning materials to evaluate and standardize curricula and teaching techniques and to determine areas where improvement is needed,observe teaching methods and examine learning materials to evaluate and standardize curricula and teaching techniques and to determine areas for improvement,95.06172839506173
obtain building blueprints or specifications for use by engineering departments in bid preparations.,obtain building blueprints or specifications for use by engineering departments in bid preparations,maintain complete records of engineering department activities including machine operations,58.94736842105264
"operate robots to perform customized tasks, such as environmental cleanup or explosive detection operations.",operate robots to perform customized tasks such as environmental cleanup or explosive detection operations,service motors by performing tasks such as changing oil and lubricating parts,55.73770491803278
operate spreadsheet programs and other types of software to load and manipulate data and to produce reports.,operate spreadsheet programs and other types of software to load and manipulate data and to produce reports,compile scripts program notes and other material related to productions,55.0561797752809
"operate testing equipment, such as heat stress meters, octave band analyzers, motion analysis equipment, inclinometers, light meters, velometers, sling psychrometers, or colormetric detection tubes.",operate testing equipment such as heat stress meters octave band analyzers motion analysis equipment inclinometers light meters velometers sling psychrometers or colormetric detection tubes,operate testing equipment such as heat stress meters octave band analyzers motion analysis equipment inclinometers light meters thermoanemometers sling psychrometers or colorimetric detection tubes,96.89119170984456
"organize and work with detailed office or warehouse records, maintaining files for each policyholder, including policies that are to be reinstated or cancelled.",organize and work with detailed office or warehouse records maintaining files for each policyholder including policies that are to be reinstated or cancelled,organize or work with detailed office or warehouse records maintaining files for each policyholder including policies that are to be reinstated or cancelled,98.40255591054313
"organize information for publication and for other means of dissemination, such as use in cd-roms or internet sites.",organize information for publication and for other means of dissemination such as use in cdroms or internet sites,organize information for publication and for other means of dissemination such as via storage media or the internet,85.96491228070175
organize production and design of curriculum materials.,organize production and design of curriculum materials,organize the adoption of unclaimed animals,60.41666666666667
"perform before live audiences, or in television, radio, or movie productions.",perform before live audiences or in television radio or movie productions,perform in television radio or movie productions,79.33884297520662
perform before live audiences.,perform before live audiences,perform or direct web site updates,60.31746031746032
"perform routine system administrative functions such as troubleshooting, back-ups, and upgrades.",perform routine system administrative functions such as troubleshooting backups and upgrades,perform routine system administrative functions such as troubleshooting backups or upgrades,97.26775956284153
"pick up passengers at prearranged locations, at taxi stands, or by cruising streets in high traffic areas.",pick up passengers at prearranged locations at taxi stands or by cruising streets in high traffic areas,pick up passengers at prearranged locations at taxi stands or by cruising streets in hightraffic areas,99.51219512195122
"plan and coordinate the production of musical recordings, selecting music and directing performers.",plan and coordinate the production of musical recordings selecting music and directing performers,coordinate production music with music directors,63.44827586206896
"plan and promote career and employment-related programs and events, such as career planning presentations, work-experience programs, job fairs, and career workshops.",plan and promote career and employmentrelated programs and events such as career planning presentations workexperience programs job fairs and career workshops,plan and promote career and employmentrelated programs and events such as career planning presentations work experience programs job fairs and career workshops,99.6845425867508
"plan, direct, and coordinate risk and insurance programs of establishments to control risks and losses.",plan direct and coordinate risk and insurance programs of establishments to control risks and losses,direct and coordinate school maintenance services and the use of school facilities,57.14285714285714
"plan, direct, or supervise the food preparation or cooking activities of multiple kitchens or restaurants in an establishment such as a restaurant chain, hospital, or hotel.",plan direct or supervise the food preparation or cooking activities of multiple kitchens or restaurants in an establishment such as a restaurant chain hospital or hotel,plan direct or supervise food preparation or cooking activities of multiple kitchens or restaurants in an establishment such as a restaurant chain hospital or hotel,98.79518072289156
"plan, organize, and conduct occupational therapy programs in hospital, institutional, or community settings to help rehabilitate those impaired because of illness, injury or psychological or developmental problems.",plan organize and conduct occupational therapy programs in hospital institutional or community settings to help rehabilitate those impaired because of illness injury or psychological or developmental problems,plan organize and conduct occupational therapy programs in hospital institutional or community settings to help rehabilitate persons with disabilities because of illness injury or psychological or developmental problems,94.14519906323186
"prepare and deliver lectures to undergraduate or graduate students on topics such as family behavior, child and adolescent mental health, and social intervention evaluation.",prepare and deliver lectures to undergraduate or graduate students on topics such as family behavior child and adolescent mental health and social intervention evaluation,prepare and deliver lectures to undergraduate or graduate students on topics such as family behavior child and adolescent mental health or social intervention evaluation,98.52507374631269
"prepare and maintain records and reports of inventories, price lists, shortages, shipments, expenditures, and goods used or issued.",prepare and maintain records and reports of inventories price lists shortages shipments expenditures and goods used or issued,prepare and maintain work records and reports of information such as employee time and wages daily receipts or inspection results,60.629921259842526
prepare cost estimates for clients.,prepare cost estimates for clients,prepare cost estimates for clients or employers,83.9506172839506
"prepare cost estimates, contracts, bidding documents, and technical reports for specific projects under an architect's supervision.",prepare cost estimates contracts bidding documents and technical reports for specific projects under an architects supervision,prepare cost estimates contracts bidding documents and technical reports for specific projects under an architects or engineers supervision,95.09433962264151
"prepare data for processing by organizing information, checking for any inaccuracies, and adjusting and weighting the raw data.",prepare data for processing by organizing information checking for any inaccuracies and adjusting and weighting the raw data,prepare data for processing by organizing information checking for inaccuracies and adjusting and weighting the raw data,98.36065573770492
prepare documents needed to implement plans selected by clients.,prepare documents needed to implement plans selected by clients,prepare for prosecutions related to animal treatment and give evidence in court,57.74647887323944
"prepare financial reports, such as reviews of portfolio positions.",prepare financial reports such as reviews of portfolio positions,prepare financial reports to monitor client or corporate finances,63.565891472868216
prepare forms or agreements to complete sales.,prepare forms or agreements to complete sales,create forms or agreements to complete sales,94.3820224719101
"prepare legal documents, including briefs, pleadings, appeals, wills, contracts, and real estate closing statements.",prepare legal documents including briefs pleadings appeals wills contracts and real estate closing statements,prepare edit or review legal documents including legislation briefs pleadings appeals wills contracts and real estate closing statements,88.9795918367347
"prepare or direct preparation of correspondence, reports, and operations, maintenance, and safety manuals.",prepare or direct preparation of correspondence reports and operations maintenance and safety manuals,prepare or direct the preparation of product or system layouts and detailed drawings and schematics,65.0
"prepare or maintain design, testing, or operational records and documentation.",prepare or maintain design testing or operational records and documentation,maintain all required environmental records and documentation,67.64705882352942
"prepare preliminary renderings of proposed exhibits, including detailed construction, layout, and material specifications, and diagrams relating to aspects such as special effects and/or lighting.",prepare preliminary renderings of proposed exhibits including detailed construction layout and material specifications and diagrams relating to aspects such as special effects andor lighting,prepare preliminary renderings of proposed exhibits including detailed construction layout and material specifications and diagrams relating to aspects such as special effects or lighting,99.20424403183023
prepare project reports and other program or technical documentation.,prepare project reports and other program or technical documentation,prepare energyrelated project reports or related documentation,69.23076923076923
"prepare real estate closing statements, using knowledge and expertise in real estate procedures.",prepare real estate closing statements using knowledge and expertise in real estate procedures,advise retail establishments on development of lossinvestigation procedures,56.80473372781065
prepare reports on non-destructive testing (ndt) results.,prepare reports on nondestructive testing ndt results,prepare reports on nondestructive testing results,96.07843137254902
"prepare reports, manuscripts, and meeting presentations.",prepare reports manuscripts and meeting presentations,prepare or review reports manuscripts or meeting presentations,86.95652173913044
"prepare study-related documentation such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, and progress reports.",prepare studyrelated documentation such as protocol worksheets procedural manuals adverse event reports institutional review board documents and progress reports,prepare studyrelated documentation such as protocol worksheets procedural manuals adverse event reports institutional review board documents or progress reports,98.4423676012461
"prepare, analyze, and verify annual reports, financial statements, and other records, using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning.",prepare analyze and verify annual reports financial statements and other records using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning,prepare analyze or verify annual reports financial statements and other records using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning,98.72773536895674
"process data for analysis, using computers.",process data for analysis using computers,process cardiac function studies using computer,72.72727272727273
"procure, produce, and provide information on the safe operation of aircraft, such as flight planning publications, operations publications, charts and maps, and weather information.",procure produce and provide information on the safe operation of aircraft such as flight planning publications operations publications charts and maps and weather information,procure produce and provide information on the safe operation of aircraft such as flight planning publications operations publications charts and maps or weather information,98.55907780979827
"produce up-to-the-minute information, using internal computer systems, to allow management to base decisions on actual, not historical, data.",produce uptotheminute information using internal computer systems to allow management to base decisions on actual not historical data,coordinate and link the computer systems within an organization to increase compatibility so that information can be shared,52.34375
"provide consultation or training to volunteers or staff on topics such as guest relations, patients' rights, and medical issues.",provide consultation or training to volunteers or staff on topics such as guest relations patients rights and medical issues,provide consultation or training to volunteers or staff on topics such as guest relations patients rights or medical issues,97.97570850202429
"provide customer support and education, working with users to identify needs, determine sources of problems, or to provide information on product use.",provide customer support and education working with users to identify needs determine sources of problems or to provide information on product use,read scripts and confer with producers to determine the types and numbers of performers required for a given production,55.094339622641506
"provide customers with information about the uses, effects, or interactions of drugs.",provide customers with information about the uses effects or interactions of drugs,provide customers with information about casino operations,75.71428571428571
"provide guests with information about local areas, including giving directions.",provide guests with information about local areas including giving directions,provide guests with information about local areas including directions,95.23809523809523
provide guidelines for implementing secure systems to customers or installation teams.,provide guidelines for implementing secure systems to customers or installation teams,provide customers or installation teams guidelines for implementing secure systems,59.88023952095809
"provide occupational, educational, and other information to individuals so that they can make educational and vocational plans.",provide occupational educational and other information to individuals so that they can make educational and vocational plans,provide occupational educational or other information to individuals so that they can make educational or vocational plans,95.9349593495935
"provide protection for individuals, such as government leaders, political candidates, and visiting foreign dignitaries.",provide protection for individuals such as government leaders political candidates and visiting foreign dignitaries,provide professional consulting services to government educational institutions or industry,56.310679611650485
provide psychological or administrative services and advice to private firms and community agencies regarding mental health programs or individual cases.,provide psychological or administrative services and advice to private firms and community agencies regarding mental health programs or individual cases,provide psychological or administrative services and advice to private firms or community agencies regarding mental health programs or individual cases,98.34983498349835
"provide staff and users with assistance solving computer related problems, such as malfunctions and program problems.",provide staff and users with assistance solving computer related problems such as malfunctions and program problems,provide staff and users with assistance solving computerrelated problems such as malfunctions and program problems,99.56331877729258
"provide statistical and computational tools for biologically based activities such as genetic analysis, measurement of gene expression, and gene function determination.",provide statistical and computational tools for biologically based activities such as genetic analysis measurement of gene expression and gene function determination,provide statistical and computational tools for biologically based activities such as genetic analysis measurement of gene expression or gene function determination,98.48024316109422
"provide students with information on such topics as college degree programs and admission requirements, financial aid opportunities, trade and technical schools, and apprenticeship programs.",provide students with information on such topics as college degree programs and admission requirements financial aid opportunities trade and technical schools and apprenticeship programs,provide students with information on topics such as college degree programs and admission requirements financial aid opportunities trade and technical schools and apprenticeship programs,97.31182795698925
provide support to technical sales staff regarding product characteristics.,provide support to technical sales staff regarding product characteristics,provide responses to regulatory agencies regarding product information or issues,61.038961038961034
"provide technical advice on the use of current instructional technologies, including computer-based training, desktop videoconferencing, multimedia, and distance learning technologies.",provide technical advice on the use of current instructional technologies including computerbased training desktop videoconferencing multimedia and distance learning technologies,provide technical direction or supervision to junior engineers engineering or computeraided design cad technicians or other technical personnel,52.95950155763241
"provide technical assistance to installers, technicians, or other solar professionals in areas such as solar electric systems, solar thermal systems, electrical systems, and mechanical systems.",provide technical assistance to installers technicians or other solar professionals in areas such as solar electric systems solar thermal systems electrical systems and mechanical systems,provide technical assistance to installers technicians or other solar professionals in areas such as solar electric systems solar thermal systems electrical systems or mechanical systems,98.65951742627345
"provide technical or logistical support to users of distance learning classrooms, equipment, web sites, or services.",provide technical or logistical support to users of distance learning classrooms equipment web sites or services,provide technical support or assistance to chemists or engineers,60.22727272727273
provide technical support during software installation or configuration.,provide technical support during software installation or configuration,provide technical support to junior staff or clients,66.66666666666667
provide technical support for computer-based geographic information systems (gis) mapping software.,provide technical support for computerbased geographic information systems gis mapping software,provide technical expertise in geographic information systems gis technology to clients or users,69.10994764397907
provide technical support to clients in the implementation of designed instruction or in task analyses and instructional systems design.,provide technical support to clients in the implementation of designed instruction or in task analyses and instructional systems design,provide technical support to users or clients regarding the maintenance development or operation of geographic information systems gis databases equipment or applications,59.01639344262295
"provide, or refer patients to other providers for, education or counseling on topics such as genetic testing, newborn care, contraception, and breastfeeding.",provide or refer patients to other providers for education or counseling on topics such as genetic testing newborn care contraception and breastfeeding,provide or refer patients to other providers for education or counseling on topics such as genetic testing newborn care contraception or breastfeeding,98.33887043189368
read corporate reports and calculate ratios to determine best prospects for profit on stock purchases.,read corporate reports and calculate ratios to determine best prospects for profit on stock purchases,read work orders or examine parts to determine parts or sections of products to be produced,60.41666666666667
"receive and post weather information and flight plan data, such as air routes and arrival and departure times.",receive and post weather information and flight plan data such as air routes and arrival and departure times,receive and post weather information and flight plan data such as air routes or arrival and departure times,97.67441860465115
"reconcile account-related statements, such as quarterly or annual statements or confirmations.",reconcile accountrelated statements such as quarterly or annual statements or confirmations,provide services to customers such as order placement or account information,58.68263473053892
"record information such as computer operating time, problems that occurred, and actions taken.",record information such as computer operating time problems that occurred and actions taken,record information such as cash receipts and ticket fares and maintain log book,61.1764705882353
render sequential drawings that can be turned into animated films or advertisements.,render sequential drawings that can be turned into animated films or advertisements,educate the public about diseases that can be spread from animals to humans,55.696202531645575
"repair or service heating, ventilating, and air conditioning (hvac) systems to improve efficiency, such as by changing filters, cleaning ducts, or refilling non-toxic refrigerants.",repair or service heating ventilating and air conditioning hvac systems to improve efficiency such as by changing filters cleaning ducts or refilling nontoxic refrigerants,repair or service heating ventilating and air conditioning hvac systems to improve efficiency such as by changing filters cleaning ducts and refilling nontoxic refrigerants,98.54227405247813
resolve customer or employee complaints.,resolve customer or employee complaints,resolve customer complaints,81.81818181818181
respond to customers' or shippers' questions and complaints regarding storage and distribution services.,respond to customers or shippers questions and complaints regarding storage and distribution services,resolve customer complaints regarding sales and service,64.1025641025641
respond to program error messages by finding and correcting problems or terminating the program.,respond to program error messages by finding and correcting problems or terminating the program,monitor program performance to ensure efficient and problemfree operations,54.437869822485204
"retrieve, separate and sort program output as needed, and send data to specified users.",retrieve separate and sort program output as needed and send data to specified users,record operational or production data on specified forms,55.714285714285715
"review and evaluate data on documents, such as claim applications, birth or death certificates, and physician or employer records.",review and evaluate data on documents such as claim applications birth or death certificates and physician or employer records,review and evaluate data on documents such as claim applications birth or death certificates or physician or employer records,98.00796812749005
"review data about material assets, net worth, liabilities, capital stock, surplus, income, and expenditures.",review data about material assets net worth liabilities capital stock surplus income and expenditures,review data about material assets net worth liabilities capital stock surplus income or expenditures,97.51243781094527
"review financial periodicals, stock and bond reports, business publications, or other material to identify potential investments for clients or to keep abreast of trends affecting market conditions.",review financial periodicals stock and bond reports business publications or other material to identify potential investments for clients or to keep abreast of trends affecting market conditions,review financial statements sales or activity reports or other performance data to identify opportunities for cost reductions or service improvements,54.22740524781341
review procedures in database management system manuals for making changes to database.,review procedures in database management system manuals for making changes to database,review procedures in database management system manuals to make changes to database,95.85798816568047
"review proposed study protocols to evaluate factors such as sample collection processes, data management plans, and potential subject risks.",review proposed study protocols to evaluate factors such as sample collection processes data management plans and potential subject risks,review proposed study protocols to evaluate factors such as sample collection processes data management plans or potential subject risks,98.16849816849816
review securities transactions to ensure conformance to regulations.,review securities transactions to ensure conformance to regulations,review all securities transactions to ensure accuracy of information and conformance to governing agency regulations,73.22404371584699
select and enter codes to monitor database performance and to create production database.,select and enter codes to monitor database performance and to create production database,select and enter codes to monitor database performance and to create production databases,99.43502824858757
"select plays, scripts, books, or ideas to be produced.",select plays scripts books or ideas to be produced,select plays scripts books news content or ideas to be produced,88.49557522123894
stay up-to-date on new regulations and current events regarding food science by reviewing scientific literature.,stay uptodate on new regulations and current events regarding food science by reviewing scientific literature,stay up to date on new regulations and current events regarding food science by reviewing scientific literature,99.0909090909091
"structure or negotiate deals, such as corporate mergers, sales, or acquisitions.",structure or negotiate deals such as corporate mergers sales or acquisitions,consult or negotiate with clients to prepare project specifications,55.94405594405594
"study effects of various methods of processing, preserving, or packaging on composition or properties of foods.",study effects of various methods of processing preserving or packaging on composition or properties of foods,instruct cooks or other workers in the preparation cooking garnishing or presentation of food,53.73134328358209
"summarize pertinent legal or insurance details, or sections of statutes or case law from reference books so that they can be used in examinations, or as proofs or ready reference.",summarize pertinent legal or insurance details or sections of statutes or case law from reference books so that they can be used in examinations or as proofs or ready reference,summarize pertinent legal or insurance details or sections of statutes or case law from reference books for use in examinations or as proofs or ready reference,93.73134328358209
"synthesize analyses of test results, and use the results to prepare technical reports of findings and recommendations.",synthesize analyses of test results and use the results to prepare technical reports of findings and recommendations,plan and direct forest surveys and related studies and prepare reports and recommendations,61.165048543689316
take dining reservations.,take dining reservations,make and confirm reservations,75.47169811320755
"teach courses or seminars on topics such as budgeting, managing personal finances, or financial literacy.",teach courses or seminars on topics such as budgeting managing personal finances or financial literacy,teach courses or seminars on topics such as budgeting management of personal finances or financial literacy,95.69377990430623
teach undergraduate level courses.,teach undergraduate level courses,teach undergraduatelevel courses,98.46153846153847
"track and trace goods while they are en route to their destinations, expediting orders when necessary.",track and trace goods while they are en route to their destinations expediting orders when necessary,maintain stock and supplies preparing supplies for special examinations and ordering supplies when necessary,56.730769230769226
track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms.,track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms,track program budgets expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms,98.49624060150376
"translate data into numbers, equations, flow charts, graphs, or other forms.",translate data into numbers equations flow charts graphs or other forms,analyze and record test data to issue reports that use charts graphs or narratives,57.51633986928104
update and maintain content posted on the web.,update and maintain content posted on the web,recruit and maintain client bases,58.97435897435898
"update operational records or licensing information, using computer terminals.",update operational records or licensing information using computer terminals,enter patient specimen insurance or billing information into computer,60.689655172413794
use informatics science to design or implement health information technology applications to resolve clinical or health care administrative problems.,use informatics science to design or implement health information technology applications to resolve clinical or health care administrative problems,use informatics science to design or implement health information technology applications for resolution of clinical or health care administrative problems,95.7095709570957
"write advertising copy for use by publication, broadcast, or internet media to promote the sale of goods and services.",write advertising copy for use by publication broadcast or internet media to promote the sale of goods and services,write advertising material for use by publication broadcast or internet media to promote the sale of goods and services,94.87179487179486
"write articles, white papers, and reports to share research findings and educate others.",write articles white papers and reports to share research findings and educate others,write articles white papers or reports to share research findings and educate others,97.0414201183432
"write changes directly into compositions, or use computer software to make changes.",write changes directly into compositions or use computer software to make changes,create sketches and diagrams by hand or computer software to depict crime scenes,58.38509316770186
write computer or microprocessor software programs.,write computer or microprocessor software programs,train staff on technical procedures or software program usage,63.06306306306306
write program code to analyze data using statistical analysis software.,write program code to analyze data using statistical analysis software,write program code to analyze data with statistical analysis software,94.96402877697841
write reports on research findings and implications to contribute to general knowledge and to suggest potential changes in organizational functioning.,write reports on research findings and implications to contribute to general knowledge and to suggest potential changes in organizational functioning,write reports on research findings and implications to contribute to general knowledge or to suggest potential changes in organizational functioning,98.31649831649831
"write reports or record data on testing techniques, laboratory equipment, or specifications to assist engineers.",write reports or record data on testing techniques laboratory equipment or specifications to assist engineers,plan sequences of calibration tests according to equipment specifications and scientific principles,56.730769230769226
write reports or research proposals.,write reports or research proposals,write applications for research grants,68.49315068493152
"write reviews of literary, musical, or other artwork, based on knowledge, judgment, or experience.",write reviews of literary musical or other artwork based on knowledge judgment or experience,discuss use and features of various parts based on knowledge of machines or equipment,54.23728813559322
"write software programs for microcontrollers or computers in machine, assembly, or other languages.",write software programs for microcontrollers or computers in machine assembly or other languages,write simple programs for computercontrolled machine tools,59.74025974025974
write to customers in their terms and on their level so that the advertiser's sales message is more readily received.,write to customers in their terms and on their level so that the advertisers sales message is more readily received,write to customers in their terms and on their level so that the script story or advertisement message is more readily received,89.25619834710744
"write, design, or edit web page content, or direct others producing content.",write design or edit web page content or direct others producing content,review or update web page content or links in a timely manner using appropriate tools,57.324840764331206
"write, present, and publish reports that record site history, methodology, and artifact analysis results, along with recommendations for conserving and interpreting findings.",write present and publish reports that record site history methodology and artifact analysis results along with recommendations for conserving and interpreting findings,prepare audit reports containing energy analysis results or recommendations for energy cost savings,57.67790262172285
